GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-COREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION DE LA VICTIMA,CLASE DE SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA, , 
DAÑOS,01/08/2020 12:00:00 AM,2020,1899-12-31T17:00:00.000,TARDE,3_MIERCOLES,VERSALLE S,CARRERA 28 CALLE 42,URBANA,TECNICO,353.817,-7.629.731,POR ESTABLECER,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,BUSETA,NON PLUS,LA VIRGINIA,PUBLICO,UNIDOS DE BUGA,,
DAÑOS,01/08/2020 12:00:00 AM,2020,1899-12-31T17:00:00.000,TARDE,3_MIERCOLES,VERSALLE S,CARRERA 28 CALLE 42,URBANA,TECNICO,353.817,-7.629.731,POR ESTABLECER,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,BOGOTA,PARTICULAR,NO APLICA,,
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T20:00:00.000,NOCHE,5_VIERNES,SANTA TERESITA,CALLE 47 CARRERA 35,URBANA,TECNICO,3.5427,-7.630.741,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T20:00:00.000,NOCHE,5_VIERNES,SANTA TERESITA,CALLE 47 CARRERA 35,URBANA,TECNICO,3.5427,-7.630.741,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,FORD,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T11:30:00.000,MAÑANA,2_MARTES,PATIO BONITO,CARRERA 19 CALLE 32,URBANA,TECNICO,352.783,-7.629.033,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T11:30:00.000,MAÑANA,2_MARTES,PATIO BONITO,CARRERA 19 CALLE 32,URBANA,TECNICO,352.783,-7.629.033,NO RESPETAR PRELACION,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,YAMAHA,IBAGUE,PARTICULAR,NO APLICA,,
HERIDOS,01/07/2020 12:00:00 AM,2020,1899-12-31T11:30:00.000,MAÑANA,2_MARTES,PATIO BONITO,CARRERA 19 CALLE 32,URBANA,TECNICO,352.783,-7.629.033,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,FLORIDA,PARTICULAR,NO APLICA,,
HERIDOS,01/08/2020 12:00:00 AM,2020,1899-12-31T06:40:00.000,MAÑANA,3_MIERCOLES,MIRRIÑAO,CARRERA 28 CALLE 54 -55,URBANA,TECNICO,354.636,-7.629.594,ADELANTAR CERRANO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,AKT,PALMIRA,PARTICULAR,NO APLICA,,
HERIDOS,01/08/2020 12:00:00 AM,2020,1899-12-31T06:40:00.000,MAÑANA,3_MIERCOLES,MIRRIÑAO,CARRERA 28 CALLE 54 -55,URBANA,TECNICO,354.636,-7.629.594,ADELANTAR CERRANO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/08/2020 12:00:00 AM,2020,1899-12-31T06:40:00.000,MAÑANA,3_MIERCOLES,MIRRIÑAO,CARRERA 28 CALLE 54 -55,URBANA,TECNICO,354.636,-7.629.594,ADELANTAR CERRANO,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,RAUL,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,01/08/2020 12:00:00 AM,2020,1899-12-31T11:40:00.000,MAÑANA,3_MIERCOLES,VERSALLE S,CALLE 42 CARRERA 28-39,URBANA,TECNICO,353.807,-7.629.792,REVERSO IMPRUDENTE,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
